1000011030,982239314_	
1000175936,748730629_	
1000198987,1603866662_	
1000232076,1007373649_	
1000335816,821635080_	
100042458,1595412260_	
100059069,2299435154_	
1000616040,1081269180_	
1000713102,171203300_	
1000772616,2186113581_	
100092634,384205711_	
1001153768,1336996470_142264582_456350465_733009458_	
1001568091,2252611226_	
1001587320,546907205_	
1002006067,2148838233_77494602_	
1002345042,1606679946_	
100245920,134963325_452783721_455561592_	
1002497348,16674527_	
10025982,294761059_51111337_	
1003121510,1523094271_1554888805_165071520_2213479716_30384544_772605350_896603448_	
100314905,513359696_	
100327995,590024579_	
1003393658,399179332_	
100345271,38583485_	
1003573334,2278523659_	
100392136,1676297731_	
1004031631,2295772234_253414597_291601499_598629440_	
1004053968,165708380_	
1004352595,872683759_	
1004358720,987751225_	
1004502080,2310934846_	
1004515506,550215575_	
1004558640,2291502822_	
1004660756,1083879181_	
1005124891,2200631421_352210491_	
100515777,896745948_957063930_994058058_	
100517926,212543492_	
1005331692,413561663_	
1005352104,1002618775_	
1005459715,197588677_	
100548306,345462035_	
1005582019,550593980_	
1005589152,840270127_	
1005593198,1530943765_	
1005593394,1022996263_	
100564707,226227551_	
100614967,514385053_	
100649666,2262926613_622631728_	
100663295,127146173_	
100670435,40349846_	
100684120,222683163_	
100684162,459884229_	
1007018827,721383612_	
100702873,334261699_	
1007138226,707158544_	
1007323453,321039889_	
100745853,955312190_	
1007547656,1056976740_	
100766356,121026073_1253307068_1485297367_15970654_1641898849_178037631_190869757_1917721620_1954695954_2238340140_2247775159_254272204_30027528_31015708_341101969_34684084_36933811_389528617_439222947_452284576_479942259_486178577_490583016_49208205_547172706_87191557_99360444_	
1007805823,799484233_	
1007923430,262992378_	
100796988,250447705_	
1008151898,204461222_2161844716_2321405510_325327124_384015470_	
1008350096,132546297_333534137_	
100847416,41872601_	
1008565801,100343860_	
100869158,1572005564_	
1008984338,594143790_	
100905264,1716903097_314836238_399760997_548943898_	
1009053848,1345645507_	
1009082492,192000974_	
1009108812,1557975726_	
100918970,574158437_	
1009308914,816996192_	
1009463628,270033492_	
1009551877,1213867196_	
1009706444,25374581_	
1009714207,1899072259_	
1009837855,2180216989_	
1009851204,1256121079_	
1009876411,2218760721_	
1010326662,392225387_	
101034001,608700490_	
101040399,2258426012_	
1010513191,702180637_	
101057738,1355240701_	
1010803082,385241952_942422870_	
